id	title	date	price	location	link
postid_7427471068	2019 triumph scrambler 1200 xc - 350 Miles	Jan  1	$12,999	 (dublin / pleasanton / livermore)	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-2019-triumph-scrambler-1200/7427471068.html
postid_7427467641	2020 Honda Rebel 500 ABS	Jan  1	$7,000	 (pacific heights)	https://sfbay.craigslist.org/sfc/mcy/d/san-francisco-2020-honda-rebel-500-abs/7427467641.html
postid_7427453519	2021 Ducati Scrambler Desert Sled Sparking Blue	Jan  1	$11,995	 (alamo square / nopa)	https://sfbay.craigslist.org/sfc/mcd/d/chatsworth-2021-ducati-scrambler-desert/7427453519.html
postid_7427443092	Honda CL450 "ARMY" Custom	Jan  1	$1,250	 (Ben Lomond, CA santa cruz co )	https://sfbay.craigslist.org/scz/mcy/d/ben-lomond-honda-cl450-army-custom/7427443092.html
postid_7427438399	09 kz vulcan	Jan  1	$3,500	 (santa clara)	https://sfbay.craigslist.org/sby/mcy/d/santa-clara-09-kz-vulcan/7427438399.html
postid_7427431844	2021 Ducati Diavel 1260 Dark Stealth ***No ADM*****	Jan  1	$20,295	 (bayview)	https://sfbay.craigslist.org/sfc/mcd/d/chatsworth-2021-ducati-diavel-1260-dark/7427431844.html
postid_7427428492	2019 Harley-Davidson® Sportster Iron 1200 V Twin 1202 cc	Jan  1	$10,990	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2019-harley-davidson-sportster/7427428492.html
postid_7427423052	Custom 13 roadglide	Jan  1	$18,000	 (Vacaville north bay / marin )	https://sfbay.craigslist.org/nby/mcy/d/vacaville-custom-13-roadglide/7427423052.html
postid_7427414527	1996 KLX Kawasaki 250 4 stroke Green Sticker	Jan  1	$1,500	 (sunnyvale)	https://sfbay.craigslist.org/sby/mcy/d/sunnyvale-1996-klx-kawasaki-stroke/7427414527.html
postid_7427413802	2014 Kawasaki ZG1400 Concourse ABS!	Jan  1	$9,999	 ( east bay area )	https://sfbay.craigslist.org/eby/mcd/d/san-ramon-2014-kawasaki-zg1400/7427413802.html
postid_7427400031	2001 Softail Heritage	Jan  1	$7,500	 (alameda)	https://sfbay.craigslist.org/eby/mcy/d/alameda-2001-softail-heritage/7427400031.html
postid_7427395808	2014 Harley FXDL Dyna lowrider Clean CA title	Jan  1	$13,500	 (pacifica)	https://sfbay.craigslist.org/pen/mcy/d/pacifica-2014-harley-fxdl-dyna-lowrider/7427395808.html
postid_7427385086	Sale or trade 04 yamaha 1100 v twin classic	Jan  1	$3,450	 (Monterey santa cruz co )	https://sfbay.craigslist.org/scz/mcy/d/monterey-sale-or-trade-04-yamaha-1100/7427385086.html
postid_7427354149	2004 Yamaha Vstar 1100 Classic	Jan  1	$4,500	 ( east bay area )	https://sfbay.craigslist.org/eby/mcy/d/livermore-2004-yamaha-vstar-1100-classic/7427354149.html
postid_7427346662	2013 ducati multistrada 1200s	Jan  1	$9,500	 (San Ramon east bay area )	https://sfbay.craigslist.org/eby/mcy/d/san-ramon-2013-ducati-multistrada-1200s/7427346662.html
postid_7427346236	Honda Shadow VLX 600 Bobber	Jan  1	$4,500	 (san jose south)	https://sfbay.craigslist.org/sby/mcy/d/san-jose-honda-shadow-vlx-600-bobber/7427346236.html
postid_7427342244	2015 Suzuki gsxr 600	Jan  1	$7,000	 (Santa cruz santa cruz co )	https://sfbay.craigslist.org/scz/mcy/d/watsonville-2015-suzuki-gsxr-600/7427342244.html
postid_7427324279	BMW R80/7 "Airhead"	Jan  1	$10,000	 ( east bay area )	https://sfbay.craigslist.org/eby/mcy/d/pleasanton-bmw-r80-airhead/7427324279.html
postid_7427264744	2019 Harley-Davidson® Softail Sport Glide V Twin 1746 cc	Jan  1	$19,494	 (San Jose Harley-Davidson south bay area )	https://sfbay.craigslist.org/sby/mcd/d/san-jose-2019-harley-davidson-softail/7427264744.html
postid_7427223664	150cc Scooter Rental for DMV M1 Test (San Mateo or Daly City,or Other)	Dec 31	$55	 (san mateo)	https://sfbay.craigslist.org/pen/mcy/d/san-mateo-150cc-scooter-rental-for-dmv/7427223664.html
postid_7427208948	2007 Yamaha Raptor 700R	Dec 31	$5,000	 (south san francisco)	https://sfbay.craigslist.org/pen/mcy/d/south-san-francisco-2007-yamaha-raptor/7427208948.html
postid_7427206774	Royal Alloy 150cc Modern Classic	Dec 31	$3,499	 (SOMA / south beach)	https://sfbay.craigslist.org/sfc/mcd/d/san-francisco-royal-alloy-150cc-modern/7427206774.html
postid_7427206574	2016 Piaggio bv350	Dec 31	$3,500	 (San Lorenzo east bay area )	https://sfbay.craigslist.org/eby/mcy/d/san-lorenzo-2016-piaggio-bv350/7427206574.html
postid_7427206169	2008 Kymco Mongoose 300 ATV	Dec 31	$3,500	 (south san francisco)	https://sfbay.craigslist.org/pen/mcy/d/south-san-francisco-2008-kymco-mongoose/7427206169.html
postid_7427205024	Harley Davidson Road King Classic	Dec 31	$9,900	 (danville / san ramon)	https://sfbay.craigslist.org/eby/mcy/d/alamo-harley-davidson-road-king-classic/7427205024.html
postid_7427201517	HD Road King w/ WARRANTY & low miles	Dec 31	$15,500	 (napa county)	https://sfbay.craigslist.org/nby/mcy/d/napa-hd-road-king-warranty-low-miles/7427201517.html
postid_7427199894	Kawasaki zx6r	Dec 31	$6,500	 (oakland east)	https://sfbay.craigslist.org/eby/mcy/d/oakland-kawasaki-zx6r/7427199894.html
postid_7427188218	Ride-in wheelchair trike	Dec 31	$16,000	 (petaluma)	https://sfbay.craigslist.org/nby/mcy/d/petaluma-ride-in-wheelchair-trike/7427188218.html
postid_7427178827	Triumph Speed Triples	Dec 31	$4,750	 (hollister)	https://sfbay.craigslist.org/sby/mcy/d/hollister-triumph-speed-triples/7427178827.html
postid_7427175971	2012 Harley Davidson 883XL IRN	Dec 31	$7,500	 (napa county)	https://sfbay.craigslist.org/nby/mcy/d/napa-2012-harley-davidson-883xl-irn/7427175971.html
postid_7427173522	Ziggy C1S by Yadea Electric Scooter	Dec 31	$4,399	 (SOMA / south beach)	https://sfbay.craigslist.org/sfc/mcd/d/san-francisco-ziggy-c1s-by-yadea/7427173522.html
postid_7427172375	2005 Honda st1300	Dec 31	$3,500	 (hollister)	https://sfbay.craigslist.org/sby/mcy/d/hollister-2005-honda-st1300/7427172375.html
postid_7427157961	1994 HONDA XR 600R	Dec 31	$4,500	 (aptos)	https://sfbay.craigslist.org/scz/mcy/d/watsonville-1994-honda-xr-600r/7427157961.html
postid_7427149834	2001 YZ250	Dec 31	$3,800	 (san jose downtown)	https://sfbay.craigslist.org/sby/mcy/d/san-jose-2001-yz250/7427149834.html
postid_7427143692	2004 kx100 two stroke	Dec 31	$1,600	 (San Jose south bay area )	https://sfbay.craigslist.org/sby/mcy/d/san-jose-2004-kx100-two-stroke/7427143692.html
postid_7427142319	2001 HD Roadking	Dec 31	$10,000	 (brentwood / oakley)	https://sfbay.craigslist.org/eby/mcy/d/discovery-bay-2001-hd-roadking/7427142319.html
postid_7427134175	SICK MX 125 Pit bike	Dec 31	$600	 (brentwood / oakley)	https://sfbay.craigslist.org/eby/mcy/d/knightsen-sick-mx-125-pit-bike/7427134175.html
postid_7427131541	2008 BMW R 1200 GS Flat Twin 1170 cc	Dec 31	$7,490	 (san jose north)	https://sfbay.craigslist.org/sby/mcd/d/modesto-2008-bmw-1200-gs-flat-twin-1170/7427131541.html
postid_7427129171	Brand new KYB A-Kit CRF	Dec 31	$6,800	 (vallejo / benicia)	https://sfbay.craigslist.org/eby/mcy/d/port-costa-brand-new-kyb-kit-crf/7427129171.html
postid_7427124622	yamaha scooter	Dec 31	$1,000	 (Los Gatos south bay area )	https://sfbay.craigslist.org/sby/mcy/d/los-gatos-yamaha-scooter/7427124622.html
postid_7427119976	1995 BMW K1100RS	Dec 31	$3,999	 (san jose north)	https://sfbay.craigslist.org/sby/mcd/d/modesto-1995-bmw-k1100rs/7427119976.html
postid_7427108382	2006 BMW K 1200 LT Longitudinal In-Line 1172 cc	Dec 31	$6,499	 (san jose north)	https://sfbay.craigslist.org/sby/mcd/d/modesto-2006-bmw-1200-lt-longitudinal/7427108382.html
postid_7427098239	2016 Harley-Davidson FLHXS-Street Glide Special*HOUSE OF THUNDER*	Dec 31	$18,900	 (morgan hill)	https://sfbay.craigslist.org/sby/mcd/d/morgan-hill-2016-harley-davidson-flhxs/7427098239.html
id	title	date	price	location	link
postid_7427098239	2016 Harley-Davidson FLHXS-Street Glide Special*HOUSE OF THUNDER*	Dec 31	$18,900	 (morgan hill)	https://sfbay.craigslist.org/sby/mcd/d/morgan-hill-2016-harley-davidson-flhxs/7427098239.html
postid_7427093612	Motorcycle carrier; haul w/o trailer;save &Fuel:KTM Adventure,BMWR	Dec 31	$830	 (SF Val santa cruz co )	https://sfbay.craigslist.org/scz/mcy/d/san-francisco-motorcycle-carrier-haul-o/7427093612.html
postid_7427089608	2022 Kawasaki Versys-X 300 ABS	Dec 31	$6,099	 (vallejo / benicia)	https://sfbay.craigslist.org/eby/mcd/d/vallejo-2022-kawasaki-versys-300-abs/7427089608.html
